Index ,Close,CloseTotRetc,CloseNetRet
"2017/03/22","35433.23","52828.41","50152.21"
"2017/03/23","35415.70","52802.27","50127.40"
"2017/03/24","35708.76","53239.20","50542.20"
"2017/03/27","35219.06","52509.60","49849.46"
"2017/03/28","35692.06","53214.82","50518.95"
"2017/03/29","35457.15","53565.71","50716.85"
"2017/03/30","35362.95","53423.40","50582.11"
"2017/03/31","34909.78","52738.79","49933.91"
"2017/04/03","34779.48","52541.94","49747.53"
"2017/04/04","34452.11","52047.38","49279.27"
"2017/04/05","34380.19","51938.73","49176.40"
"2017/04/06","33851.83","51140.53","48420.65"
"2017/04/07","34072.72","51474.23","48736.60"
"2017/04/10","34454.70","52051.29","49282.97"
"2017/04/11","34230.86","51713.13","48962.80"
"2017/04/12","33762.16","51005.06","48292.39"
"2017/04/13","33360.84","50398.78","47718.35"
"2017/04/14","33238.06","50213.29","47542.73"
"2017/04/17","33209.38","50169.96","47501.71"
"2017/04/18","33367.52","50408.86","47727.91"
"2017/04/19","33314.33","50328.50","47651.83"
"2017/04/20","33479.62","50578.21","47888.26"
"2017/04/21","34000.33","51364.86","48633.07"
"2017/04/24","34199.13","51665.19","48917.43"
"2017/04/25","34783.94","52548.67","49753.93"
"2017/04/26","35453.04","53559.49","50710.99"
"2017/04/27","35453.87","53560.74","50712.18"
"2017/04/28","35237.94","53234.53","50403.32"
"2017/05/01","35485.10","53607.92","50756.85"
"2017/05/02","35737.99","53989.97","51118.58"
"2017/05/08","36388.93","54973.36","52049.67"
"2017/05/09","36184.78","54664.95","51757.66"
"2017/05/10","36195.12","54680.57","51772.45"
"2017/05/11","36374.91","54952.18","52029.62"
"2017/05/12","36123.19","54571.90","51669.57"
"2017/05/15","35750.75","54009.25","51136.84"
"2017/05/16","35822.41","54117.51","51239.34"
"2017/05/17","35449.96","53554.84","50706.60"
"2017/05/18","34742.12","52485.49","49694.13"
"2017/05/19","35070.00","52980.82","50163.12"
"2017/05/22","35221.60","53209.84","50379.96"
"2017/05/23","34989.10","52858.60","50047.40"
"2017/05/24","35293.92","53319.10","50483.41"
"2017/05/25","35320.99","53360.00","50522.13"
"2017/05/26","35078.53","52993.71","50175.32"
"2017/05/29","35043.28","52940.46","50124.90"
"2017/05/30","35019.69","52904.82","50091.16"
"2017/05/31","34850.18","52648.74","49848.70"
"2017/06/01","35240.06","53237.74","50406.37"
"2017/06/02","36135.21","54590.06","51686.77"
"2017/06/05","35755.25","54016.05","51143.29"
"2017/06/06","35450.39","53555.49","50707.23"
"2017/06/07","35571.80","53738.91","50880.89"
"2017/06/08","35594.07","53772.55","50912.74"
"2017/06/09","35725.31","53970.82","51100.46"
"2017/06/12","35792.08","54071.69","51195.97"
"2017/06/13","35836.52","54138.83","51259.54"
"2017/06/14","35687.48","53913.67","51046.36"
"2017/06/15","35269.80","53282.67","50448.92"
"2017/06/16","35527.27","53671.63","50817.20"
"2017/06/19","35570.86","53737.48","50879.55"
"2017/06/20","35821.01","54115.39","51237.36"
"2017/06/21","35634.20","53840.14","50975.40"
"2017/06/22","35564.17","53739.72","50879.30"
"2017/06/23","35614.60","53815.92","50951.45"
"2017/06/26","35569.38","53767.87","50902.06"
"2017/06/27","35839.91","54184.73","51295.19"
"2017/06/28","35957.05","54475.84","51548.85"
"2017/06/29","36259.54","54934.12","51982.51"
"2017/06/30","36163.85","54791.59","51847.16"
"2017/07/03","36296.46","54992.51","52037.28"
"2017/07/04","36441.45","55212.18","52245.15"
"2017/07/05","36766.79","55705.10","52711.58"
"2017/07/06","36574.34","55413.52","52435.67"
"2017/07/07","36463.74","55245.95","52277.11"
"2017/07/10","36612.75","55471.71","52490.74"
"2017/07/11","36796.52","55750.14","52754.21"
"2017/07/12","36660.37","55543.86","52559.02"
"2017/07/13","36536.53","55356.23","52381.47"
"2017/07/14","36686.07","55582.80","52595.86"
"2017/07/18","36506.73","55311.08","52338.74"
"2017/07/19","36393.60","55139.68","52176.55"
"2017/07/20","36612.26","55470.97","52490.04"
"2017/07/21","36488.51","55283.48","52312.62"
"2017/07/24","36191.85","54834.01","51887.31"
"2017/07/25","36132.08","54743.45","51801.62"
"2017/07/26","36389.41","55133.33","52170.55"
"2017/07/27","36349.64","55100.83","52134.46"
"2017/07/28","36123.72","54758.37","51810.43"
"2017/07/31","36039.46","54630.64","51689.58"
"2017/08/01","36342.71","55090.32","52124.52"
"2017/08/02","36428.80","55220.82","52247.99"
"2017/08/03","36393.60","55167.46","52197.50"
"2017/08/04","36234.90","54926.89","51969.88"
"2017/08/07","36447.32","55248.89","52274.54"
"2017/08/08","36380.02","55146.87","52178.02"
"2017/08/09","36095.23","54715.17","51769.56"
"2017/08/10","35987.23","54551.46","51614.66"
"2017/08/14","35568.04","53916.73","51013.95"
"2017/08/15","35950.80","54496.95","51562.93"
"2017/08/16","35926.27","54459.77","51527.75"
"2017/08/17","35889.06","54403.36","51474.38"
"2017/08/18","35560.52","53905.33","51003.17"
"2017/08/21","35404.35","53668.60","50779.18"
"2017/08/22","35424.45","53699.07","50808.01"
"2017/08/23","35479.92","53783.16","50887.57"
"2017/08/24","35276.76","53475.19","50596.18"
"2017/08/25","35455.20","53745.68","50852.11"
"2017/08/28","35452.95","53742.27","50848.88"
"2017/08/29","35354.91","53593.65","50708.26"
"2017/08/30","35462.62","53756.92","50862.74"
"2017/08/31","35763.43","54212.91","51294.18"
"2017/09/01","35800.09","54268.48","51346.76"
"2017/09/04","35560.38","53905.11","51002.95"
"2017/09/05","35383.90","53637.59","50749.83"
"2017/09/06","35269.08","53463.54","50585.15"
"2017/09/07","35335.12","53563.65","50679.87"
"2017/09/08","35156.26","53292.52","50423.34"
"2017/09/11","35578.20","53932.13","51028.51"
"2017/09/12","35947.60","54492.09","51558.33"
"2017/09/13","36194.40","54866.21","51912.31"
"2017/09/14","36145.78","54792.51","51842.58"
"2017/09/15","36371.01","55133.93","52165.62"
"2017/09/19","37108.71","56252.19","53223.68"
"2017/09/20","37163.34","56335.00","53302.03"
"2017/09/21","37259.27","56480.42","53439.62"
"2017/09/22","37285.42","56520.06","53477.13"
"2017/09/25","37418.61","56721.96","53668.16"
"2017/09/26","37441.57","56756.76","53701.09"
"2017/09/27","37108.62","56997.06","53785.25"
"2017/09/28","37312.41","57310.07","54080.62"
"2017/09/29","37288.02","57272.61","54045.27"
"2017/10/02","37196.46","57131.98","53912.56"
"2017/10/03","37431.62","57493.17","54253.40"
"2017/10/04","37360.13","57383.36","54149.78"
"2017/10/05","37317.24","57317.48","54087.62"
"2017/10/06","37492.30","57586.36","54341.35"
"2017/10/10","37413.55","57465.40","54227.21"
"2017/10/11","37403.78","57450.39","54213.05"
"2017/10/12","37437.90","57502.80","54262.50"
"2017/10/13","37601.41","57753.94","54499.49"
"2017/10/16","37938.48","58271.66","54988.04"
"2017/10/17","38076.69","58483.94","55188.36"
"2017/10/18","38123.82","58556.33","55256.67"
"2017/10/19","38269.25","58779.70","55467.46"
"2017/10/20","38207.96","58685.56","55378.63"
"2017/10/23","38597.31","59283.58","55942.95"
"2017/10/24","38904.18","59754.92","56387.73"
"2017/10/25","39035.80","59957.08","56578.50"
"2017/10/26","39212.87","60229.05","56835.15"
"2017/10/27","39642.49","60888.93","57457.84"
"2017/10/30","39604.84","60833.79","57405.28"
"2017/10/31","39238.83","60271.59","56874.77"
"2017/11/01","39767.07","61086.29","57642.92"
"2017/11/02","39941.42","61355.55","57896.73"
"2017/11/06","39920.61","61326.39","57868.68"
"2017/11/07","40418.72","62099.55","58596.72"
"2017/11/08","40418.99","62099.96","58597.11"
"2017/11/09","40308.83","61933.08","58439.19"
"2017/11/10","39963.55","61402.57","57938.61"
"2017/11/13","39541.13","60753.54","57326.19"
"2017/11/14","39427.12","60578.37","57160.90"
"2017/11/15","38594.30","59298.77","55953.49"
"2017/11/16","38792.04","59602.59","56240.17"
"2017/11/17","38896.10","59762.47","56391.03"
"2017/11/20","38580.97","59278.28","55934.16"
"2017/11/21","38893.08","59757.83","56386.65"
"2017/11/22","39116.79","60101.55","56710.98"
"2017/11/24","39130.44","60122.52","56730.77"
"2017/11/27","39020.96","59954.31","56572.05"
"2017/11/28","38808.32","59627.60","56263.77"
"2017/11/29","39233.42","60280.75","56880.07"
"2017/11/30","39585.61","60821.88","57390.67"
"2017/12/01","39785.84","61129.53","57680.96"
"2017/12/04","39650.58","60921.71","57484.86"
"2017/12/05","39749.14","61073.14","57627.75"
"2017/12/06","39150.06","60152.67","56759.21"
"2017/12/07","39453.29","60618.57","57198.83"
"2017/12/08","39863.49","61248.83","57793.53"
"2017/12/11","40191.91","61753.44","58269.67"
"2017/12/12","40465.68","62174.08","58666.58"
"2017/12/13","40463.87","62171.30","58663.96"
"2017/12/14","40244.13","61833.68","58345.38"
"2017/12/15","39772.83","61109.54","57662.10"
"2017/12/18","40395.47","62066.20","58564.79"
"2017/12/19","40529.90","62272.75","58759.68"
"2017/12/20","40929.38","62886.54","59338.84"
"2017/12/21","40859.27","62778.82","59237.20"
"2017/12/22","41187.55","63283.21","59713.14"
"2017/12/25","41186.66","63281.84","59711.85"
"2017/12/26","41065.84","63096.20","59536.69"
"2017/12/27","41181.08","63419.00","59813.34"
"2017/12/28","40880.06","62955.43","59376.12"
"2017/12/29","40930.69","63033.40","59449.66"
